City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tiksi,RU,71.6872,128.8694,-25.76,99,100,3.78,overcast clouds
1,Road Town,VG,18.4167,-64.6167,25.0,83,40,3.6,scattered clouds
2,Maniwaki,CA,46.3834,-75.966,-1.0,24,0,3.09,clear sky
3,Kayerkan,RU,69.3497,87.7602,-25.52,87,25,2.69,scattered clouds
4,Mataura,NZ,-46.1927,168.8643,13.89,67,100,3.58,light rain
5,Hermanus,ZA,-34.4187,19.2345,17.22,66,100,3.58,overcast clouds
6,Margate,GB,51.3813,1.3862,6.67,72,28,1.79,scattered clouds
7,Lucapa,AO,-8.4192,20.7447,18.11,97,78,0.63,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,25.47,74,47,4.72,light rain
9,Bereda,ES,43.2686,-7.5406,13.0,100,90,0.51,overcast clouds
10,Ishigaki,JP,24.3448,124.1572,25.0,94,75,2.06,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,29.44,21,0,2.68,clear sky
12,Norman Wells,CA,65.282,-126.8329,-12.0,56,40,3.38,scattered clouds
13,Jamestown,US,42.097,-79.2353,-0.56,68,1,5.14,clear sky
14,Bambous Virieux,MU,-20.3428,57.7575,26.11,100,75,5.39,light rain
15,Lenger,KZ,42.183,69.8839,1.0,69,4,4.0,smoke
16,Cape Town,ZA,-33.9258,18.4232,15.56,77,0,1.03,clear sky
17,Ponta Do Sol,PT,32.6667,-17.1,17.0,67,40,3.09,scattered clouds
18,Ancud,CL,-41.8697,-73.8203,12.78,90,68,0.89,broken clouds
19,Busselton,AU,-33.65,115.3333,17.78,79,66,0.45,broken clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,19.44,82,40,5.14,scattered clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,24.52,76,5,5.49,clear sky
22,Taldan,RU,53.6667,124.8,-6.46,63,0,7.67,clear sky
23,Butaritari,KI,3.0707,172.7902,27.91,80,27,7.18,light rain
24,Bredasdorp,ZA,-34.5322,20.0403,9.0,93,95,3.09,overcast clouds
25,Chokurdakh,RU,70.6333,147.9167,-20.99,97,92,0.47,overcast clouds
26,Barrow,US,71.2906,-156.7887,-24.0,70,1,2.06,clear sky
27,Albany,US,42.6001,-73.9662,2.22,30,62,1.79,broken clouds
28,Ushuaia,AR,-54.8,-68.3,8.0,81,75,6.17,broken clouds
29,Aldan,RU,58.6031,125.3894,-12.84,78,100,2.55,overcast clouds
30,Garbsen,DE,52.4167,9.6,4.44,87,75,3.6,broken clouds
31,Avarua,CK,-21.2078,-159.775,29.0,74,56,5.66,broken clouds
32,Hobart,AU,-42.8794,147.3294,29.44,21,0,8.75,clear sky
33,Mocuba,MZ,-16.8392,36.9856,19.24,95,0,1.05,clear sky
34,High Level,CA,58.5169,-117.136,-1.0,55,75,1.54,broken clouds
35,Mahebourg,MU,-20.4081,57.7,25.0,94,40,3.6,light rain
36,Nuuk,GL,64.1835,-51.7216,-9.0,73,90,7.72,overcast clouds
37,Yulara,AU,-25.2406,130.9889,26.0,29,0,5.66,clear sky
38,Aktau,KZ,43.65,51.2,6.0,93,40,3.0,scattered clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,25.0,94,100,1.79,overcast clouds
40,Vaini,TO,-21.2,-175.2,29.0,79,75,3.6,broken clouds
41,Uvinza,TZ,-5.1036,30.3911,17.59,95,13,0.88,few clouds
42,Provideniya,RU,64.3833,-173.3,-10.38,86,100,5.71,overcast clouds
43,Cam Ranh,VN,11.9214,109.1591,28.0,78,75,1.03,broken clouds
44,Carnarvon,AU,-24.8667,113.6333,29.0,70,100,6.17,overcast clouds
45,Faanui,PF,-16.4833,-151.75,27.8,68,1,0.31,clear sky
46,Karratha,AU,-20.7377,116.8463,31.59,35,0,4.04,clear sky
47,Port Hardy,CA,50.6996,-127.4199,9.0,57,75,6.69,broken clouds
48,Hithadhoo,MV,-0.6,73.0833,28.79,74,9,8.24,clear sky
49,Adrar,MR,20.5022,-10.0711,29.08,7,100,4.13,overcast clouds
50,Mbini,GQ,1.574,9.6134,27.0,94,40,2.05,scattered clouds
51,Flinders,AU,-34.5833,150.8552,25.56,63,0,1.34,clear sky
52,Sao Joao Da Barra,BR,-21.6403,-41.0511,22.88,85,1,4.11,clear sky
53,Lata,PT,40.1629,-8.3327,13.89,94,20,1.03,few clouds
54,Bluff,NZ,-46.6,168.3333,13.89,67,100,3.58,overcast clouds
55,College,US,64.8569,-147.8028,-10.0,52,75,1.28,broken clouds
56,Kapaa,US,22.0752,-159.319,26.0,65,40,7.2,light rain
57,Tuktoyaktuk,CA,69.4541,-133.0374,-24.0,70,75,3.09,broken clouds
58,Kodiak,US,57.79,-152.4072,6.0,42,1,4.63,clear sky
59,Yanggu,CN,36.1106,115.7753,9.62,86,100,8.22,overcast clouds
60,Iquitos,PE,-3.7481,-73.2472,25.0,94,20,1.03,few clouds
61,Pevek,RU,69.7008,170.3133,-20.73,84,14,1.39,few clouds
62,Mahibadhoo,MV,3.7833,72.9667,28.32,76,73,6.26,broken clouds
63,Gorom-Gorom,BF,14.4439,-0.2361,26.24,8,1,3.99,clear sky
64,Talnakh,RU,69.4865,88.3972,-26.19,84,12,2.94,few clouds
65,Atuona,PF,-9.8,-139.0333,27.07,79,48,6.26,light rain
66,Oeiras Do Para,BR,-2.0031,-49.8544,23.24,95,63,0.57,broken clouds
67,Nikolskoye,RU,59.7035,30.7861,1.11,86,75,2.0,broken clouds
68,Natal,BR,-5.795,-35.2094,26.0,83,20,2.57,few clouds
