City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Aleysk,RU,2021-04-02 23:54:35,52.4926,82.7822,-4.05,79,85,5.77
1,Kailua,US,2021-04-02 23:54:35,21.4022,-157.7394,27.0,54,75,5.66
2,Bredasdorp,ZA,2021-04-02 23:54:36,-34.5322,20.0403,9.0,93,46,2.06
3,Atuona,PF,2021-04-02 23:54:36,-9.8,-139.0333,26.96,81,33,6.27
4,Lavrentiya,RU,2021-04-02 23:54:36,65.5833,-171.0,-13.52,78,100,5.77
5,Avarua,CK,2021-04-02 23:54:37,-21.2078,-159.775,28.0,74,31,7.2
6,Nokaneng,BW,2021-04-02 23:54:37,-19.6667,22.2667,20.22,42,9,2.16
7,Port Alfred,ZA,2021-04-02 23:54:37,-33.5906,26.891,15.69,84,24,5.03
8,Rikitea,PF,2021-04-02 23:54:37,-23.1203,-134.9692,25.37,75,91,5.04
9,Torres,BR,2021-04-02 23:54:38,-29.3353,-49.7269,19.54,87,95,2.47
10,Upernavik,GL,2021-04-02 23:54:38,72.7868,-56.1549,-27.28,99,99,2.76
11,Mankono,CI,2021-04-02 23:54:38,8.0586,-6.1897,26.57,51,41,2.39
12,Mar Del Plata,AR,2021-04-02 23:54:11,-38.0023,-57.5575,19.44,82,75,5.14
13,Pa Sang,TH,2021-04-02 23:54:39,18.5262,98.9394,27.22,61,40,1.03
14,Victoria,HK,2021-04-02 23:52:23,22.2855,114.1577,25.56,84,1,1.7
15,Itaueira,BR,2021-04-02 23:54:39,-7.6033,-43.0256,24.85,73,47,0.97
16,Lumeje,AO,2021-04-02 23:54:39,-11.55,20.7833,18.85,94,100,1.55
17,Carnarvon,AU,2021-04-02 23:54:40,-24.8667,113.6333,25.0,94,48,3.6
18,Berlevag,NO,2021-04-02 23:54:40,70.8578,29.0864,-2.03,83,92,3.2
19,Ginir,ET,2021-04-02 23:54:40,7.1333,40.7,15.6,70,20,2.07
20,Ponta Do Sol,PT,2021-04-02 23:54:41,32.6667,-17.1,17.0,63,40,2.57
21,Palmer,US,2021-04-02 23:54:41,42.1584,-72.3287,1.0,40,75,3.6
22,Salinas,US,2021-04-02 23:54:41,36.6777,-121.6555,16.67,59,1,6.17
23,Pangnirtung,CA,2021-04-02 23:54:41,66.1451,-65.7125,-29.05,79,5,2.82
24,Qaanaaq,GL,2021-04-02 23:54:42,77.484,-69.3632,-29.69,84,100,3.37
25,Hermanus,ZA,2021-04-02 23:54:42,-34.4187,19.2345,15.56,77,74,0.45
26,Guaruja,BR,2021-04-02 23:52:47,-23.9931,-46.2564,25.56,26,13,2.04
27,Nome,US,2021-04-02 23:54:42,64.5011,-165.4064,-8.89,79,90,7.72
28,Pitimbu,BR,2021-04-02 23:54:43,-7.4706,-34.8086,26.0,89,0,2.06
29,Mitsamiouli,KM,2021-04-02 23:54:43,-11.3847,43.2844,27.66,78,87,5.46
30,Albany,US,2021-04-02 23:54:17,42.6001,-73.9662,2.78,25,100,0.45
31,Busselton,AU,2021-04-02 23:54:43,-33.65,115.3333,17.22,83,100,0.45
32,Campbell River,CA,2021-04-02 23:54:44,50.0163,-125.2446,10.0,49,75,3.6
33,Port Elizabeth,ZA,2021-04-02 23:54:44,-33.918,25.5701,16.0,77,20,5.14
34,De Aar,ZA,2021-04-02 23:54:44,-30.6497,24.0123,15.52,61,26,3.97
35,Cabo San Lucas,MX,2021-04-02 23:54:44,22.8909,-109.9124,29.0,30,40,3.09
36,Biloela,AU,2021-04-02 23:54:45,-24.4167,150.5,25.55,51,34,9.23
37,Hithadhoo,MV,2021-04-02 23:54:45,-0.6,73.0833,28.67,74,90,8.46
38,Kapaa,US,2021-04-02 23:54:45,22.0752,-159.319,24.0,88,90,3.6
39,Mount Gambier,AU,2021-04-02 23:54:46,-37.8333,140.7667,23.0,33,0,6.17
40,Shediac,CA,2021-04-02 23:54:46,46.2198,-64.5411,2.0,75,75,1.54
41,Vestmannaeyjar,IS,2021-04-02 23:54:46,63.4427,-20.2734,6.25,86,100,3.55
42,Diplo,PK,2021-04-02 23:54:47,24.4667,69.584,25.37,45,0,3.97
43,Jamestown,US,2021-04-02 23:54:47,42.097,-79.2353,0.0,43,1,4.63
44,Ha Tinh,VN,2021-04-02 23:54:47,18.3333,105.9,25.42,84,79,0.58
45,Rocha,UY,2021-04-02 23:54:37,-34.4833,-54.3333,15.19,88,15,2.21
46,Hilo,US,2021-04-02 23:54:48,19.7297,-155.09,27.0,57,40,4.63
47,Georgetown,MY,2021-04-02 23:54:48,5.4112,100.3354,28.0,89,20,2.06
48,Minab,IR,2021-04-02 23:54:48,27.1467,57.0801,23.0,73,0,3.09
49,Kilindoni,TZ,2021-04-02 23:54:48,-7.9139,39.6668,26.78,81,100,6.24
50,Cape Town,ZA,2021-04-02 23:50:28,-33.9258,18.4232,16.67,77,0,1.03
51,Baykit,RU,2021-04-02 23:54:49,61.67,96.37,-7.15,96,99,0.52
52,Bambous Virieux,MU,2021-04-02 23:54:49,-20.3428,57.7575,24.44,100,75,1.54
53,Antofagasta,CL,2021-04-02 23:54:50,-23.65,-70.4,17.0,82,0,5.66
54,Puerto Ayora,EC,2021-04-02 23:54:50,-0.7393,-90.3518,25.56,91,63,1.26
55,Yellowknife,CA,2021-04-02 23:53:31,62.456,-114.3525,-13.33,72,90,3.6
56,Vostok,RU,2021-04-02 23:54:50,46.4856,135.8833,1.9,95,100,3.72
57,Tuatapere,NZ,2021-04-02 23:54:51,-46.1333,167.6833,12.22,77,100,1.79
58,Saldanha,ZA,2021-04-02 23:54:51,-33.0117,17.9442,15.0,67,44,0.51
59,Kontagora,NG,2021-04-02 23:54:51,10.3999,5.4695,26.37,10,11,2.56
60,Znamenskoye,RU,2021-04-02 23:54:51,57.1281,73.8282,0.87,98,100,3.97
61,Plettenberg Bay,ZA,2021-04-02 23:54:52,-34.0527,23.3716,13.52,86,1,2.46
62,Ipixuna,BR,2021-04-02 23:54:52,-1.7625,-48.8043,25.0,94,75,1.54
63,Punta Arenas,CL,2021-04-02 23:54:52,-53.15,-70.9167,8.0,87,75,2.57
64,Bluff,NZ,2021-04-02 23:54:53,-46.6,168.3333,12.22,77,95,1.79
65,Sicuani,PE,2021-04-02 23:54:53,-14.2694,-71.2261,7.49,80,92,2.33
66,Saint George,US,2021-04-02 23:50:02,37.1041,-113.5841,29.44,11,1,2.57
67,Tuktoyaktuk,CA,2021-04-02 23:54:53,69.4541,-133.0374,-24.0,70,75,3.6
68,Sangar,RU,2021-04-02 23:54:54,63.9242,127.4739,-23.34,97,100,0.56
69,Japura,ID,2021-04-02 23:54:54,-0.3167,102.35,24.02,89,66,0.63
70,Lorengau,PG,2021-04-02 23:54:54,-2.0226,147.2712,27.58,79,99,1.24
71,Ushuaia,AR,2021-04-02 23:51:20,-54.8,-68.3,9.0,76,75,2.57
72,Hobart,AU,2021-04-02 23:54:55,-42.8794,147.3294,27.22,29,0,4.63
73,Lata,PT,2021-04-02 23:54:55,40.1629,-8.3327,13.89,94,41,0.32
74,Gunjur,GM,2021-04-02 23:54:55,13.2019,-16.7339,22.0,83,0,4.12
75,Buritis,BR,2021-04-02 23:54:55,-15.6178,-46.4233,23.68,75,97,0.71
76,Sao Joao Da Barra,BR,2021-04-02 23:54:56,-21.6403,-41.0511,23.66,80,32,4.63
77,Butaritari,KI,2021-04-02 23:54:56,3.0707,172.7902,27.74,80,30,7.34
78,Kavieng,PG,2021-04-02 23:54:56,-2.5744,150.7967,29.74,70,99,4.38
79,Malim,PH,2021-04-02 23:54:57,7.452,123.4312,26.3,82,99,3.2
80,Leh,IN,2021-04-02 23:54:57,34.1667,77.5833,-4.97,48,81,2.87
81,Guerrero Negro,MX,2021-04-02 23:54:57,27.9769,-114.0611,18.38,64,0,9.15
82,Avera,US,2021-04-02 23:54:58,33.194,-82.5271,12.0,28,1,1.57
83,Mataura,NZ,2021-04-02 23:54:58,-46.1927,168.8643,12.22,77,90,1.79
84,Saskylakh,RU,2021-04-02 23:54:58,71.9167,114.0833,-34.89,99,61,1.11
85,Derzhavinsk,KZ,2021-04-02 23:54:59,51.1,66.3167,-8.01,78,96,3.42
86,Katsuura,JP,2021-04-02 23:54:59,35.1333,140.3,17.0,67,75,2.57
87,Biak,ID,2021-04-02 23:54:59,-0.9131,122.8766,28.0,66,82,0.43
88,Luderitz,NA,2021-04-02 23:55:00,-26.6481,15.1594,20.61,49,0,6.63
89,Nikolskoye,RU,2021-04-02 23:55:00,59.7035,30.7861,1.11,86,0,2.0
90,Clyde River,CA,2021-04-02 23:55:00,70.4692,-68.5914,-22.0,59,1,3.09
91,Kahului,US,2021-04-02 23:53:54,20.8947,-156.47,27.0,61,20,9.77
92,Batticaloa,LK,2021-04-02 23:55:01,7.7102,81.6924,25.44,84,16,2.11
93,Ribeira Grande,PT,2021-04-02 23:55:01,38.5167,-28.7,16.45,82,99,12.01
94,Lagoa,PT,2021-04-02 23:55:01,39.05,-27.9833,15.84,85,100,12.63
95,Cherskiy,RU,2021-04-02 23:55:02,68.75,161.3,-14.44,71,100,2.76
96,Necochea,AR,2021-04-02 23:55:02,-38.5473,-58.7368,16.67,79,71,2.24
97,Pevek,RU,2021-04-02 23:55:02,69.7008,170.3133,-21.22,84,9,0.98
98,Gejiu,CN,2021-04-02 23:55:03,23.306,103.1635,13.3,76,12,1.33
99,Den Helder,NL,2021-04-02 23:55:03,52.9599,4.7593,6.11,70,90,5.14
100,Lasa,IT,2021-04-02 23:55:03,46.6166,10.7002,9.44,100,20,2.57
101,Ancud,CL,2021-04-02 23:55:04,-41.8697,-73.8203,13.89,71,90,2.06
102,West Wendover,US,2021-04-02 23:55:04,40.7391,-114.0733,20.0,11,1,1.54
103,Deputatskiy,RU,2021-04-02 23:55:04,69.3,139.9,-21.31,98,100,1.72
104,Solnechnyy,RU,2021-04-02 23:55:05,50.7214,136.6319,4.79,70,63,3.87
105,Bengkulu,ID,2021-04-02 23:55:05,-3.8004,102.2655,24.6,86,80,2.96
106,Catuday,PH,2021-04-02 23:55:05,16.2923,119.8062,26.57,62,7,3.52
107,Dicabisagan,PH,2021-04-02 23:55:05,17.0818,122.4157,26.52,71,5,0.47
108,Tiksi,RU,2021-04-02 23:55:06,71.6872,128.8694,-25.62,99,100,3.57
109,Toora-Khem,RU,2021-04-02 23:55:06,52.4675,96.11,-6.8,87,89,0.76
110,Taltal,CL,2021-04-02 23:50:21,-25.4,-70.4833,19.08,78,21,2.11
111,Karratha,AU,2021-04-02 23:55:07,-20.7377,116.8463,29.09,44,1,4.45
112,Nanortalik,GL,2021-04-02 23:55:07,60.1432,-45.2371,2.15,98,100,0.75
113,Marienburg,PL,2021-04-02 23:55:07,54.0359,19.0266,3.33,100,100,2.35
114,Bilma,NE,2021-04-02 23:55:08,18.6853,12.9164,21.36,12,25,2.51
115,Husavik,IS,2021-04-02 23:55:08,66.0449,-17.3389,7.0,49,0,9.77
116,Pecos,US,2021-04-02 23:52:08,31.4229,-103.4932,25.0,25,1,9.26
117,Arraial Do Cabo,BR,2021-04-02 23:55:08,-22.9661,-42.0278,24.6,76,68,6.04
118,Tiarei,PF,2021-04-02 23:55:09,-17.5333,-149.3333,32.0,62,40,3.09
119,Diego De Almagro,CL,2021-04-02 23:55:09,-26.3667,-70.05,19.7,38,28,0.78
120,Petropavlovsk-Kamchatskiy,RU,2021-04-02 23:55:09,53.0452,158.6483,1.0,40,4,3.0
121,New Norfolk,AU,2021-04-02 23:55:09,-42.7826,147.0587,27.22,31,0,0.89
122,Esperance,AU,2021-04-02 23:55:10,-33.8667,121.9,18.0,88,90,4.12
123,Ayan,RU,2021-04-02 23:55:10,56.45,138.1667,-2.67,96,100,11.33
124,Sabang,ID,2021-04-02 23:55:10,5.8933,95.3214,28.52,73,100,7.5
125,Trincomalee,LK,2021-04-02 23:55:11,8.5711,81.2335,26.24,84,2,5.63
126,Jutiapa,GT,2021-04-02 23:55:11,14.2833,-89.9,29.0,42,20,4.12
127,Astorga,BR,2021-04-02 23:55:11,-23.2325,-51.6656,24.0,50,0,2.57
128,Bonthe,SL,2021-04-02 23:55:12,7.5264,-12.505,26.18,88,72,1.72
129,Sevlievo,BG,2021-04-02 23:55:12,43.0258,25.1136,8.89,90,77,1.34
130,Mocuba,MZ,2021-04-02 23:55:12,-16.8392,36.9856,19.24,94,21,1.13
131,Hobyo,SO,2021-04-02 23:55:13,5.3505,48.5268,27.7,77,13,4.84
132,Nelson Bay,AU,2021-04-02 23:55:13,-32.7167,152.15,24.44,83,40,1.54
133,Geraldton,AU,2021-04-02 23:55:13,-28.7667,114.6,21.0,88,90,8.23
134,Doctor Arroyo,MX,2021-04-02 23:55:14,23.6667,-100.1833,15.04,72,79,6.59
135,Mahebourg,MU,2021-04-02 23:55:14,-20.4081,57.7,24.0,100,75,1.54
136,Wanning,CN,2021-04-02 23:55:14,18.8003,110.3967,25.55,86,25,2.22
137,Damghan,IR,2021-04-02 23:55:14,36.1683,54.348,16.51,38,30,0.82
138,Kodiak,US,2021-04-02 23:55:15,57.79,-152.4072,5.0,30,90,3.6
139,Henties Bay,NA,2021-04-02 23:55:15,-22.116,14.2845,17.22,88,12,2.24
140,Norman Wells,CA,2021-04-02 23:55:15,65.282,-126.8329,-13.0,61,40,2.06
141,The Valley,AI,2021-04-02 23:55:16,18.217,-63.0578,26.0,83,40,6.69
142,Tasiilaq,GL,2021-04-02 23:55:16,65.6145,-37.6368,-1.0,86,75,5.14
143,Thompson,CA,2021-04-02 23:55:16,55.7435,-97.8558,9.0,37,20,7.2
144,Kavaratti,IN,2021-04-02 23:55:16,10.5669,72.642,28.01,60,68,5.2
145,Ixtapa,MX,2021-04-02 23:55:17,20.7,-105.2,26.0,69,75,5.14
146,Gizo,SB,2021-04-02 23:55:17,-8.103,156.8419,29.51,67,99,3.07
147,Acapulco,MX,2021-04-02 23:55:17,16.8634,-99.8901,31.0,55,1,4.63
148,Ahipara,NZ,2021-04-02 23:55:17,-35.1667,173.1667,21.72,58,28,3.11
149,Zuwarah,LY,2021-04-02 23:55:18,32.9312,12.082,21.63,31,19,5.89
150,Taos,US,2021-04-02 23:55:18,36.4072,-105.5731,17.22,20,90,4.12
151,Faanui,PF,2021-04-02 23:55:18,-16.4833,-151.75,27.71,69,0,0.46
152,Castro,BR,2021-04-02 23:55:19,-24.7911,-50.0119,13.78,86,3,1.98
153,Mogok,MM,2021-04-02 23:55:19,22.9167,96.5,18.63,40,6,0.77
154,Vaini,TO,2021-04-02 23:55:19,-21.2,-175.2,28.0,83,75,2.57
155,Chokurdakh,RU,2021-04-02 23:55:20,70.6333,147.9167,-22.35,99,99,0.85
156,Worland,US,2021-04-02 23:55:20,44.0169,-107.9554,23.0,8,1,5.14
157,Riyadh,SA,2021-04-02 23:51:06,24.6877,46.7219,26.0,18,0,3.6
158,Khatanga,RU,2021-04-02 23:55:20,71.9667,102.5,-33.38,97,10,2.0
159,Westport,US,2021-04-02 23:53:22,41.1415,-73.3579,2.0,38,90,2.06
160,Znamenka,RU,2021-04-02 23:55:21,52.4167,41.4311,4.9,93,100,1.34
161,Constitucion,CL,2021-04-02 23:55:21,-35.3333,-72.4167,13.58,85,22,5.72
162,Swift Current,CA,2021-04-02 23:55:21,50.2834,-107.8014,14.0,23,1,2.06
163,Andenes,NO,2021-04-02 23:55:22,69.3143,16.1194,1.0,75,100,5.14
164,San Patricio,US,2021-04-02 23:55:22,28.017,-97.5169,19.0,55,75,8.23
165,Aklavik,CA,2021-04-02 23:55:22,68.2191,-135.0107,-18.0,50,100,3.66
166,Fayaoue,NC,2021-04-02 23:55:23,-20.65,166.5333,25.06,90,100,2.88
167,Ustka,PL,2021-04-02 23:55:23,54.5805,16.8619,3.65,83,99,3.16
168,General Roca,AR,2021-04-02 23:55:23,-39.0333,-67.5833,24.0,60,40,2.57
